,AUC-ROC,Gini,KS Statistic,Brier Score,Precision (Default),Recall (Default),F1 (Default),Avg Precision
Logistic Regression,0.685022905348385,0.3700458106967699,0.27042893636644966,0.21417760732808347,0.33409970279818313,0.5844614479105356,0.4251614514575231,0.3679909188972381
Random Forest,0.7134263726601244,0.42685274532024886,0.31805542563963224,0.18867551578885014,0.38458210139179344,0.5231508730625858,0.44328997132288767,0.3916119044470052
XGBoost,0.7233062652029538,0.44661253040590765,0.32623152086632723,0.16638346016407013,0.4330366603093876,0.4009221110457132,0.416361043194784,0.4100563232047739
