threshold,precision,recall,f1
0.05,0.2188595642167301,0.9981361585246223,0.3590014995148628
0.060000000000000005,0.22065686934247944,0.9971551893270552,0.3613515579175628
0.07,0.22284159241539744,0.9960761232097313,0.36420373027259684
0.08000000000000002,0.22490619657645256,0.99372179713557,0.36679641531637547
0.09000000000000001,0.2274333295825363,0.9913674710614087,0.3699866371341229
0.1,0.22973743641216324,0.9879340788699235,0.37278599322611095
0.11000000000000001,0.2325322703992955,0.9843044928389248,0.37619270784515885
0.12000000000000002,0.23531354692587175,0.9784186776535216,0.3793837961201978
0.13,0.23857026104514206,0.9736119285854424,0.3832342265812032
0.14,0.2420067776631796,0.966745144202472,0.387108178175819
0.15000000000000002,0.24552236931347182,0.9587992937021778,0.3909365438073716
0.16000000000000003,0.24929178470254956,0.9495781832450461,0.39490861618798956
0.17000000000000004,0.2538296690213509,0.9411418481459682,0.3998249671813465
0.18000000000000002,0.25832198311086896,0.9302530900529723,0.40435783728466657
0.19000000000000003,0.26291895527407244,0.9203453011575436,0.4089977767121496
0.20000000000000004,0.26739036039947894,0.9061212477928193,0.4129283175752699
0.21000000000000002,0.2719730205628675,0.8939572297429861,0.41706139447609897
0.22000000000000003,0.2775172754195459,0.8824798901314499,0.42224829852147383
0.23000000000000004,0.2834519970626736,0.870904453600157,0.4277008310249307
0.24000000000000005,0.2890270931886599,0.8570727879144595,0.4322786532419662
0.25000000000000006,0.29400068563592735,0.8412791838336277,0.4357280764149985
0.26000000000000006,0.30018481660506113,0.828526584265254,0.44069919123402035
0.27,0.3051948051948052,0.8114577202275849,0.4435626575151483
0.28,0.310377864643213,0.7944869531096723,0.44637345679012347
0.29000000000000004,0.31519662474128324,0.7768295075534628,0.4484398890084376
0.30000000000000004,0.32025332174344967,0.7589758681577399,0.4504410095188193
0.31000000000000005,0.32554134917559946,0.7418089072003139,0.4525027675552763
0.32000000000000006,0.3306885422270038,0.7236609770453207,0.45394129592025106
0.33000000000000007,0.3361654451239438,0.7063959191681382,0.45554325478412144
0.3400000000000001,0.34098647728378245,0.6876594074946046,0.4559053069719043
0.3500000000000001,0.34664431235075954,0.6693152835000981,0.4567392977875958
0.36000000000000004,0.35154595510376957,0.6513635471846184,0.45663984595282303
0.37000000000000005,0.35730858468677495,0.6344908769864627,0.457167090754877
0.38000000000000006,0.36253532498990715,0.6166372375907396,0.4566156975266044
0.39000000000000007,0.3685292694726657,0.5978026289974495,0.45596707818930043
0.4000000000000001,0.3733620307653352,0.5785756327251325,0.4538494094109499
0.4100000000000001,0.3786414194915254,0.5610162840886797,0.4521306032097399
0.4200000000000001,0.3830068083923857,0.5408083186187954,0.44843012851797626
0.43000000000000005,0.3901816325041943,0.5247204237786933,0.4475588838221144
0.44000000000000006,0.3968644328312327,0.5065724936237003,0.44505731276394034
0.45000000000000007,0.4032688728861558,0.4889150480674907,0.4419811111603778
0.4600000000000001,0.40837518086645674,0.4706690209927408,0.4373148612313722
0.4700000000000001,0.4146887595163457,0.4541887384736119,0.4335408961093684
0.4800000000000001,0.4195804195804196,0.4355503237198352,0.4274162495186754
0.4900000000000001,0.4251526985080605,0.41651952128703157,0.42079183390317626
0.5000000000000001,0.4330366603093876,0.4009221110457132,0.416361043194784
0.5100000000000001,0.4391558149977548,0.3837551500882872,0.4095906187833735
0.5200000000000001,0.4456094364351245,0.36688247989013145,0.40243180717705923
0.5300000000000001,0.4510051839676318,0.34991171277221894,0.3940783295586367
0.5400000000000001,0.45623987034035657,0.33137139493819895,0.3839072621888851
0.55,0.4626606962299581,0.314204433980773,0.3742478238008997
0.56,0.4686673923184575,0.295664116146753,0.3625864661654135
0.5700000000000001,0.4719157472417252,0.27692760447321957,0.34903560830860536
0.5800000000000001,0.47981254506128335,0.26113400039238766,0.3382035319527379
0.5900000000000001,0.48695482866043616,0.24534039631155583,0.32628832354859755
